SG_DCRDS_H08,Y3,BA Hons in Creative Design L8
SG_DCRDS_H08,Y4,BA Hons in Creative Design L8
SG_DCRDS_K08,Y4,BA (Hons) in Creative Design 
SG_DCRDS_R,Y7,MA Creative Design (Research)
SG_EADVA_E08,Y4,Level 8 Certificate in Advance
SG_EAUTI_N06,Y1,Cert in Automation and Instru
SG_EAUTI_N06,Y2,Cert in Automation and Instru
SG_EAUTM_N06,Y1,Cert in Auto and Electronic L
SG_EAUTM_N06,Y2,Cert in Auto and Electronic L
SG_EAUTO_D,Y3,B.Eng Mechatronics Level 7
SG_ECARP_T,A6,Carpentry & Joinery
SG_ECIVE_C,Y1,H C in Civil Engineering L6
SG_ECIVI_C06,Y1,HC in Civil Engineering
SG_ECIVI_C06,Y2,HC in Civil Engineering
SG_ECIVL_H08,Y1,BEng Hons Civil Engineering
SG_ECIVL_K08,Y4,BEng Hons Civil Eng L8
SG_ECIVL_K08,Y5,BEng Hons Civil Eng L8
SG_ECVIL_B07,Y1,BEng in Civil Engineering L7
SG_ECVIL_B07,Y2,BEng in Civil Engineering L7
SG_ECVIL_B07,Y3,BEng in Civil Engineering L7
SG_EDATA_J07,Y3,Bachelor of Engineering in Dat
SG_EELEC_C06,Y1,HC Electr and Comp Engineering
SG_EELEC_C06,Y2,HC Electr and Comp Engineering
SG_EELEC_T,A4,Electrical Trades
SG_EELEC_T,A6,Electrical Trades
SG_EENVE_B07,Y2,BEng in Enviro Engineering L7
SG_EENVE_B07,Y3,BEng in Enviro Engineering L7
SG_ELSIG_S07,Y3,Cert in Lean Sigma GB L7 
SG_EMANM_J07,Y3,BSc in Manufact Mgmt L7
SG_EMECL_B07,Y1,BEng Mechanical Eng L7
SG_EMECL_B07,Y2,BEng Mechanical Eng L7
SG_EMECL_B07,Y3,BEng Mechanical Eng L7
SG_EMECL_C06,Y1,Higher Certificate in Engineer
SG_EMECL_C06,Y2,Higher Certificate in Engineer
SG_EMECL_K08,Y4,BEng Hons Mechanical Eng L8
SG_EMECT_K08,Y4,BEng Hons Mechatronics L8
SG_EMENG_R,Y7,M. Eng by Research Level 9
SG_EMSC_R,Y6,M.Sc (Eng) by Research L9
SG_EMSC_R,Y7,M.Sc (Eng) by Research L9
SG_EMTRN_B07,Y1,BEng in Mechatronics L7
SG_EMTRN_B07,Y2,BEng in Mechatronics L7
SG_EMTRN_B07,Y3,BEng in Mechatronics L7
SG_EMTRN_C06,Y1,Higher Certificate in Engineer
SG_EMTRN_C06,Y2,Higher Certificate in Engineer
SG_EMTRN_J07,Y3,BEng in Mechatronics L7
SG_EMTRN_J07,Y4,BEng in Mechatronics L7
SG_EMTRN_K08,Y4,BEng Hons Mechatronics L8
SG_ENETW_S09,Y5,Level 9 Special Purpose Award 
SG_EPHD_P,Y8,Doctor of Philosophy (Eng) L10
SG_EPLYP_J07,Y3,BEng in Polymer Process L7
SG_EPOLY_E06,Y1,Cert in Polymer Techno L6
SG_EPREC_B07,Y1,Bachelor of Engineering in Pre
SG_EPREC_B07,Y2,Bachelor of Engineering in Pre
SG_EPREC_B07,Y3,Bachelor of Engineering in Pre
SG_EPREC_C06,Y1,Higher Certificate in Engineer
SG_EPREC_C06,Y2,Higher Certificate in Engineer
SG_EPREC_J07,Y3,Bachelor of Engineering in Pre
SG_EPREC_K08,Y4,Bachelor of Engineering (Honou
SG_EPREC_K08,Y5,Bachelor of Engineering (Honou
SG_EPROC_S06,Y1,Certificate in Process Technol
SG_EQLTY_K08,Y4,BSc Hons Quality Mgmt and Tec
SG_EQLTY_M09,Y5,MSc in Quality L9
SG_EQUAL_E06,Y1,Certificate in Quality Assura
SG_EQUAN_B07,Y1,BSc Quanity Surveying L7
SG_EROAD_M09,Y5,Master of Engineering in Road 
SG_EROAD_M09,Y6,Master of Engineering in Road 
SG_EROAD_M09,Y7,Master of Engineering in Road 
SG_EROAD_N09,Y5,Certificate in Engineering Roa
SG_EROAD_O09,Y5,Postgraduate Diploma in Engine
SG_EROAD_O09,Y6,Postgraduate Diploma in Engine
SG_ESSYB_E07,Y3,Certificate in Six Sigma Yello
SG_ETMKG_T,A4,Toolmaking
SG_ETMKG_T,A6,Toolmaking
SG_ETRON_B07,Y1,BEng in Electronic Eng L7
SG_ETRON_B07,Y2,BEng in Electronic Eng L7
SG_ETRON_B07,Y3,BEng in Electronic Eng L7
SG_ETRON_J07,Y3,BEng in Electronic Engineerin
SG_ETRON_K08,Y4,BEng Hons Electronic Eng L8
SG_EVALI_S06,Y1,Level 6 Special Purpose Award 
SG_EWORK_S06,Y1,Level 6 Certificate   in Work 
SG_HBIEA_T,Y1,Training for Success
SG_HEARL_H08,Y1,BA Hons Early Childhood Care
SG_HEARL_H08,Y2,BA Hons Early Childhood Care
SG_HEARL_H08,Y3,BA Hons Early Childhood Care
SG_HEARL_H08,Y4,BA Hons Early Childhood Care
SG_HENGL_H08,Y1,BA(Hons) English & Psychology
SG_HJOIN_H08,Y1,BA(Hons) Sociology & Politics
SG_HLEAD_M09,Y5,Master of Arts in Humanities i
SG_HLEAD_M09,Y6,Master of Arts in Humanities i
SG_HLEAD_O09,Y5,Postgraduate Diploma in Arts i
SG_HMA_R,Y6,MA (Humanities) by Research L9
SG_HMA_R,Y7,MA (Humanities) by Research L9
SG_HPHD_P,Y8,Doctor of Philosophy Hum L10
SG_HSOCC_D,Y1,B A Applied Social Studies L7
